Budget: 60
Time: 09:00 - 20:00 (total of 660 minutes)
Genre: thrill
Food: yes
Starting coordinates: (37.423580, -122.170733)
max travel time is  30
starting add variables
ending add variables
starting add budget constraints
ending add budget constraints
starting add_different_activity_constraints
ending add_different_activity_constraints
starting add rating constaints
ending add travel time constaints
starting add food constaints
ending add food constaints
starting add review count constraints
ending add review count constraints
starting add travel time constaints
1
3
5
7
9
         496345392 function calls (483440952 primitive calls) in 326.282 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 algos.py:453(Pbes1Params)
        1    0.000    0.000    0.000    0.000 algos.py:460(PSourceAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:466(PSourceAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:478(RSAESOAEPParams)
        1    0.000    0.000    0.000    0.000 algos.py:49(_ForceNullParameters)
        1    0.000    0.000    0.000    0.000 algos.py:516(DSASignature)
        1    0.000    0.000    0.000    0.000 algos.py:567(EncryptionAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:619(EncryptionAlgorithm)
        1    0.000    0.000    0.003    0.003 api.py:11(<module>)
        1    0.000    0.000    0.000    0.000 arcgis.py:20(ArcGIS)
        1    0.000    0.000    0.001    0.001 arcgis.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ascii.py:13(Codec)
        1    0.000    0.000    0.000    0.000 ascii.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 ascii.py:24(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 ascii.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 ascii.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 ascii.py:34(StreamConverter)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:100(HTTPProxyAuth)
        1    0.000    0.000    0.000    0.000 auth.py:108(HTTPDigestAuth)
        1    0.000    0.000    0.000    0.000 auth.py:72(AuthBase)
        1    0.000    0.000    0.000    0.000 auth.py:79(HTTPBasicAuth)
        1    0.000    0.000    0.000    0.000 auth.py:8(<module>)
        6    0.000    0.000    0.000    0.000 backend.py:110(openssl_assert)
        1    0.000    0.000    0.000    0.000 backend.py:113(activate_builtin_random)
        2    0.000    0.000    0.000    0.000 backend.py:124(_get_osurandom_engine)
        1    0.000    0.000    0.000    0.000 backend.py:144(activate_osrandom_engine)
        1    0.000    0.000    0.000    0.000 backend.py:1947(GetCipherByName)
       34    0.000    0.000    0.000    0.000 backend.py:1948(__init__)
       34    0.000    0.000    0.000    0.000 backend.py:209(register_cipher_adapter)
        1    0.000    0.000    0.000    0.000 backend.py:216(_register_default_ciphers)
        1    0.005    0.005    0.016    0.016 backend.py:5(<module>)
        1    0.000    0.000    0.000    0.000 backend.py:71(Backend)
        1    0.000    0.000    0.000    0.000 backend.py:92(__init__)
        1    0.000    0.000    0.000    0.000 baidu.py:19(Baidu)
        1    0.000    0.000    0.000    0.000 baidu.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base.py:141(_CipherContext)
        1    0.000    0.000    0.000    0.000 base.py:164(_AEADCipherContext)
        1    0.000    0.000    0.000    0.000 base.py:178(CertificateRevocationList)
        1    0.000    0.000    0.000    0.000 base.py:20(CipherAlgorithm)
        1    0.000    0.000    0.000    0.000 base.py:228(_AEADEncryptionContext)
        1    0.000    0.000    0.000    0.000 base.py:254(CertificateSigningRequest)
        1    0.000    0.000    0.001    0.001 base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base.py:331(RevokedCertificate)
        1    0.000    0.000    0.000    0.000 base.py:35(BlockCipherAlgorithm)
        1    0.000    0.000    0.000    0.000 base.py:352(CertificateSigningRequestBuilder)
        1    0.000    0.000    0.000    0.000 base.py:37(Version)
        1    0.000    0.000    0.000    0.000 base.py:396(CertificateBuilder)
        1    0.000    0.000    0.000    0.000 base.py:44(CipherContext)
        2    0.004    0.002    0.039    0.019 base.py:5(<module>)
        1    0.000    0.000    0.000    0.000 base.py:567(CertificateRevocationListBuilder)
