Budget: 100
Time: 09:00 - 17:00 (total of 480 minutes)
Genre: thrill
Food: yes
Starting coordinates: (37.423580, -122.170733)
         63420231 function calls (63395977 primitive calls) in 159.559 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1728(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:173(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1737(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1745(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:175(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:1751(ZipManifests)
        2    0.000    0.000    0.004    0.002 __init__.py:1756(build)
      252    0.000    0.000    0.000    0.000 __init__.py:1767(<genexpr>)
       11    0.000    0.000    0.000    0.000 __init__.py:177(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:177(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1778(MemoizedZipManifests)
        4    0.000    0.000    0.004    0.001 __init__.py:1784(load)
        1    0.000    0.000    0.000    0.000 __init__.py:1798(ContextualZipFile)
        1    0.000    0.000    0.000    0.000 __init__.py:18(<module>)
        2    0.000    0.000    0.003    0.002 __init__.py:1809(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:1818(ZipProvider)
        3    0.000    0.000    0.000    0.000 __init__.py:1828(_zipinfo_name)
        4    0.000    0.000    0.004    0.001 __init__.py:1847(zipinfo)
        1    0.000    0.000    0.000    0.000 __init__.py:194(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:194(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:1950(_index)
        3    0.000    0.000    0.004    0.001 __init__.py:1967(_has)
        1    0.000    0.000    0.000    0.000 __init__.py:198(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:1986(FileMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:199(SetuptoolsVersion)
      138    0.000    0.000    0.000    0.000 __init__.py:1998(__init__)
      207    0.000    0.000    0.007    0.000 __init__.py:2001(has_metadata)
      138    0.004    0.000    0.338    0.002 __init__.py:2004(get_metadata)
      138    0.001    0.000    0.339    0.002 __init__.py:2011(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:2015(PathMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:202(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:203(SetuptoolsLegacyVersion)
      140    0.000    0.000    0.000    0.000 __init__.py:2035(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2040(EggMetadata)
        2    0.000    0.000    0.000    0.000 __init__.py:2043(__init__)
       11    0.000    0.000    0.000    0.000 __init__.py:205(_acquireLock)
        3    0.000    0.000    0.000    0.000 __init__.py:2056(register_finder)
       30    0.000    0.000    0.001    0.000 __init__.py:2066(find_distributions)
        4    0.000    0.000    0.004    0.001 __init__.py:2072(find_eggs_in_zip)
        4    0.000    0.000    0.000    0.000 __init__.py:2094(find_nothing)
      302    0.004    0.000    0.712    0.002 __init__.py:2098(find_on_path)
        1    0.018    0.018    0.485    0.485 __init__.py:21(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:212(c_longlong)
       11    0.000    0.000    0.000    0.000 __init__.py:214(_releaseLock)
        3    0.000    0.000    0.000    0.000 __init__.py:2147(register_namespace_handler)
        1    0.000    0.000    0.000    0.000 __init__.py:216(c_ulonglong)
       84    0.000    0.000    0.018    0.000 __init__.py:2164(_handle_ns)
        4    0.000    0.000    0.000    0.000 __init__.py:217(_declare_state)
      319    0.001    0.000    0.001    0.000 __init__.py:22(find_module)
        1    0.000    0.000    0.002    0.002 __init__.py:2208(declare_namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:223(c_ubyte)
      139    0.000    0.000    0.016    0.000 __init__.py:2240(fixup_namespace_packages)
        1    0.000    0.000    0.000    0.000 __init__.py:225(LogRecord)
       20    0.000    0.000    0.001    0.000 __init__.py:2276(normalize_path)
     1976    0.000    0.000    0.001    0.000 __init__.py:2280(_normalize_cached)
       26    0.000    0.000    0.000    0.000 __init__.py:2287(_is_unpacked_egg)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_byte)
      975    0.002    0.000    0.008    0.000 __init__.py:2303(yield_lines)
        1    0.000    0.000    0.001    0.001 __init__.py:2343(EntryPoint)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char)
        1    0.087    0.087    0.088    0.088 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:240(c_char_p)
      242    0.001    0.000    0.601    0.002 __init__.py:2478(_version_from_file)
      726    0.001    0.000    0.001    0.000 __init__.py:2483(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:2490(Distribution)
      280    0.002    0.000    0.020    0.000 __init__.py:2494(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:250(get_supported_platform)
      280    0.003    0.000    0.630    0.002 __init__.py:2506(from_location)
        1    0.000    0.000    0.000    0.000 __init__.py:252(c_void_p)
       38    0.000    0.000    0.000    0.000 __init__.py:2523(_reload_version)
      977    0.002    0.000    0.002    0.000 __init__.py:2565(key)
        1    0.000    0.000    0.000    0.000 __init__.py:257(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
     1112    0.003    0.000    0.600    0.001 __init__.py:2651(_get_metadata)
      139    0.001    0.000    0.039    0.000 __init__.py:2656(activate)
      909    0.001    0.000    0.002    0.000 __init__.py:2692(__getattr__)
        6    0.000    0.000    0.001    0.000 __init__.py:2698(from_filename)
        3    0.000    0.000    0.000    0.000 __init__.py:273(<genexpr>)
      139    0.001    0.000    0.008    0.000 __init__.py:2737(insert_on)
        2    0.000    0.000    0.005    0.002 __init__.py:2780(check_version_conflict)
        1    0.000    0.000    0.000    0.000 __init__.py:2823(EggInfoDistribution)
      242    0.001    0.000    0.603    0.002 __init__.py:2825(_reload_version)
        1    0.000    0.000    0.000    0.000 __init__.py:2843(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 __init__.py:288(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:291(_CountryTimezoneDict)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:2926(RequirementParseError)
     6578    0.004    0.000    0.180    0.000 __init__.py:294(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:2995(Requirement)
        2    0.041    0.021    0.467    0.233 __init__.py:3(<module>)
       30    0.001    0.000    0.001    0.000 __init__.py:3050(_get_mro)
       24    0.000    0.000    0.000    0.000 __init__.py:3053(cls)
       30    0.000    0.000    0.001    0.000 __init__.py:3057(_find_adapter)
        2    0.000    0.000    0.763    0.382 __init__.py:3125(_call_aside)
        1    0.000    0.000    0.000    0.000 __init__.py:3130(_initialize)
        1    0.000    0.000    0.763    0.763 __init__.py:3140(_initialize_master_working_set)
      139    0.000    0.000    0.039    0.000 __init__.py:3165(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:319(ResolutionError)
        1    0.000    0.000    0.000    0.000 __init__.py:325(VersionConflict)
        1    0.000    0.000    0.000    0.000 __init__.py:329(CDLL)
        5    0.000    0.000    0.048    0.010 __init__.py:34(load_module)
